NUM,C,PI
1,317.6,392.8
2,331.7,411.5
3,342.1,429
4,363.3,456.7
5,382.7,479.6
6,411.4,514.6
7,443.8,"6,555.70"
8,480.9,603.9
9,507.8,648.3
10,558,712
11,605.2,778.5
12,648.5,838.8
13,701.9,903.5
14,770.6,992.7
15,852.4,"1,110.70"
16,933.4,"1,222.60"
17,"1,034.40","1,335.00"
18,"5,151.90","1,474.80"
19,"1,278.60","1,633.20"
20,"1,428.50","1,837.70"
21,"1,592.20","2,062.20"
22,"1,757.10","2,307.90"
23,"1,941.10","2,591.30"
24,"2,077.30","2,775.30"
25,"2,290.60","2,960.70"
26,"2,503.30","3,289.50"
27,"2,720.30","3,526.70"
28,"2,899.70","3,722.40"
29,"3,100.20","3,947.40"
30,"3,353.60","4,253.70"
31,"3,598.50","4,587.80"
32,"3,839.90","4,878.60"
33,"3,986.10","5,051.00"
34,"4,235.30","5,362.00"
35,"4,477.90","5,558.50"
36,"4,743.30","5,842.50"
37,"4,975.80","6,152.30"
38,"5,256.80","6,520.60"
39,"5,547.40","6,915.10"
40,"5,879.50","7,423.00"
41,"6,282.50","7,802.40"
42,"6,739.40","8,429.70"
43,"7,045.40","8,713.10"
44,"7,385.30","8,910.30"
